Dimension,Label,Code
value,高价值用户,0
value,中价值用户,1
value,低价值用户,2
credit,黑名单用户,3
credit,高风险用户,4
credit,信用良好用户,5
feedback,咨询用户,6
feedback,投诉用户,7
feedback,沉默反馈用户,8
traffic,"本月截至当前使用总流量(0,10]",9
traffic,"本月截至当前使用总流量(10,50]",10
traffic,"本月截至当前使用总流量(50,100]",11
traffic,"本月截至当前使用总流量(100,250]",12
traffic,"本月截至当前使用总流量(250,500]",13
traffic,"本月截至当前使用总流量(500,1000]",14
traffic,"本月截至当前使用总流量(1000,inf]",15
package,"主套餐月租费(0,19]",16
package,"主套餐月租费(19,59]",17
package,"主套餐月租费(59,99]",18
package,"主套餐月租费(99,139]",19
package,"主套餐月租费(139,169]",20
package,"主套餐月租费(169,269]",21
package,"主套餐月租费(269,inf]",22
voice_exceed,"上月超套语音费用(0,10]",23
voice_exceed,"上月超套语音费用(10,30]",24
voice_exceed,"上月超套语音费用(30,60]",25
voice_exceed,"上月超套语音费用(60,100]",26
voice_exceed,"上月超套语音费用(100,200]",27
voice_exceed,"上月超套语音费用(200,inf]",28
traffic_exceed,"上月超套流量费用(0,30]",29
traffic_exceed,"上月超套流量费用(30,60]",30
traffic_exceed,"上月超套流量费用(60,100]",31
traffic_exceed,"上月超套流量费用(100,inf]",32
arpu,"上月折后ARPU在(0,30]",33
arpu,"上月折后ARPU在(30,50]",34
arpu,"上月折后ARPU在(50,100]",35
arpu,"上月折后ARPU在(100,200]",36
arpu,"上月折后ARPU在(200,inf]",37
mou,"上月MOU在(0,30]",38
mou,"上月MOU在(30,60]",39
mou,"上月MOU在(60,100]",40
mou,"上月MOU在(100,inf]",41
